id,attr_time,attr_x,attr_y,attr_z
1,1435994343824,-0.026625754,-0.033823356,0.12868008
2,1435994343846,-0.016546477,-0.02527124,0.12654206
3,1435994343900,-0.01685191,-0.020689752,0.1250149
4,1435994343902,-0.0055509023,-0.0060289875,0.12073884
5,1435994343904,-0.007688932,-0.0020583607,0.12104427
6,1435994343923,-0.011354122,0.0040502883,0.121960565
7,1435994343942,-0.019295372,0.0009959638,0.12532033
8,1435994343965,-0.014103018,-0.0017529316,0.13020726
9,1435994343981,-0.017768208,-0.012443073,0.13387245
10,1435994344001,-0.021127965,-0.01946802,0.12684749
11,1435994344022,-0.021433398,-0.005418122,0.12684749
12,1435994344043,-0.020517103,7.966533e-05,0.12898552
13,1435994344064,-0.015630178,-0.004807256,0.12898552
14,1435994344082,-0.013186719,-0.01580283,0.1326507
15,1435994344103,-0.013492152,-0.021911483,0.1277638
16,1435994344123,-0.017462775,-0.01213764,0.1240986
17,1435994344141,-0.024487726,-0.009388745,0.12348773
18,1435994344197,-0.023265995,-0.011832207,0.12806922
19,1435994344198,-0.018684506,-0.01794086,0.12837465
20,1435994344202,-0.019600805,-0.027103838,0.133567
21,1435994344223,-0.019295372,-0.040848307,0.13081811
22,1435994344243,-0.02479316,-0.041153736,0.12684749
23,1435994344263,-0.020517103,-0.031685326,0.12287687
24,1435994344285,-0.019906238,-0.009694178,0.12868008
25,1435994344303,-0.016546477,-0.013053939,0.13051268
26,1435994344325,-0.02021167,-0.037488546,0.12990181
27,1435994344345,-0.022349697,-0.047873255,0.12257144
28,1435994344362,-0.025098592,-0.032296192,0.1231823
29,1435994344383,-0.021433398,-0.015497398,0.12623663
30,1435994344403,-0.014408451,-0.024354946,0.1277638
31,1435994344424,-0.009216096,-0.018246293,0.12837465
32,1435994344445,-0.006161768,-0.018857155,0.12959638
33,1435994344464,-0.015019316,-0.025576673,0.13234527
34,1435994344483,-0.020822536,-0.023438647,0.13326158
35,1435994344505,-0.022044264,-0.015497398,0.13387245
36,1435994344522,-0.015935611,-0.02740927,0.13295615
37,1435994344543,-0.015630178,-0.031074462,0.12715292
38,1435994344562,-0.009521529,-0.018246293,0.11982254
39,1435994344585,-0.013186719,0.0034394227,0.11860081
40,1435994344636,-0.012575854,0.008937214,0.12134971
41,1435994344638,-0.018684506,0.004355725,0.1231823
42,1435994344651,-0.019600805,-0.0035855249,0.12990181
43,1435994344663,-0.017462775,-0.013359368,0.12990181
44,1435994344688,-0.01898994,-0.017024562,0.12868008
45,1435994344702,-0.019906238,-0.0063344203,0.12593119
46,1435994344724,-0.013492152,0.0013013966,0.12654206
47,1435994344760,-0.013186719,-0.0020583607,0.13295615
48,1435994344777,-0.0067726336,-0.016719129,0.133567
49,1435994344782,-0.015630178,-0.02160605,0.12562576
50,1435994344812,-0.013186719,-0.0099996105,0.119211674
51,1435994344851,-0.011354122,0.002523128,0.121960565
52,1435994344852,-0.010743257,-0.0057235546,0.12837465
53,1435994344862,-0.016241044,-0.018551726,0.12868008
54,1435994344882,-0.015935611,-0.035045087,0.12654206
55,1435994344903,-0.019600805,-0.032601625,0.12990181
56,1435994344922,-0.017462775,-0.032296192,0.12532033
57,1435994344947,-0.014408451,-0.018246293,0.122266
58,1435994344962,-0.017768208,-0.017635427,0.12593119
59,1435994344982,-0.012270421,-0.029852731,0.12684749
60,1435994345002,-0.019600805,-0.03779398,0.12623663
61,1435994345022,-0.022044264,-0.02740927,0.12287687
62,1435994345042,-0.024182294,-0.009388745,0.122266
63,1435994345062,-0.021127965,-0.014886532,0.1240986
64,1435994345082,-0.011659555,-0.025576673,0.12623663
65,1435994345101,-5.311519e-05,-0.020078886,0.12959638
66,1435994345121,-0.011964988,-0.019162588,0.13326158
67,1435994345141,-0.01898994,-0.025576673,0.1326507
68,1435994345163,-0.022044264,-0.026798405,0.13417788
69,1435994345182,-0.018379074,-0.032296192,0.1277638
70,1435994345203,-0.015019316,-0.036877684,0.12348773
71,1435994345221,-0.012881286,-0.022216916,0.12073884
72,1435994345244,-0.009521529,-0.008472446,0.11707365
73,1435994345262,-0.009216096,0.000690531,0.11860081
74,1435994345282,-0.011354122,0.006188322,0.11860081
75,1435994345302,-0.019295372,0.0077154823,0.12562576
76,1435994345324,-0.016241044,-0.012748506,0.13142899
77,1435994345342,-0.017157342,-0.027714703,0.13203984
78,1435994345362,-0.020822536,-0.022216916,0.12837465
79,1435994345382,-0.01807364,-0.007861581,0.13142899
80,1435994345402,-0.016546477,-0.013053939,0.13112354
81,1435994345422,-0.012881286,-0.024660375,0.13081811
82,1435994345444,-0.010743257,-0.018857155,0.124709465
