id,attr_time,attr_x,attr_y,attr_z
1,1436168796339,2.2864625,9.362526,0.81881696
2,1436168796340,2.3762453,9.337387,0.8074445
3,1436168796341,2.541445,9.209895,1.01574
4,1436168796342,2.586935,9.192537,0.92176765
5,1436168796355,2.4498668,9.188946,0.61890113
6,1436168796386,2.3774424,9.368511,0.51475334
7,1436168796459,2.331354,9.426571,0.59256494
8,1436168796469,2.4941597,9.205107,0.85891986
9,1436168796470,2.4809916,9.115923,0.9139865
10,1436168796471,2.533664,9.185355,0.83018947
11,1436168796488,2.445677,9.36073,0.6715736
12,1436168796495,2.4259248,9.323022,0.6159084
13,1436168796518,2.445677,9.263765,0.6428431
14,1436168796538,2.4624364,9.305065,0.85891986
15,1436168796559,2.4109612,9.380483,0.88525605
16,1436168796579,2.4594438,9.280524,0.53689975
17,1436168796599,2.486977,9.174581,0.4961983
18,1436168796619,2.4372973,9.221867,0.6278794
19,1436168796639,2.4408886,9.329605,0.79846627
20,1436168796659,2.5360582,9.3661175,0.7344214
21,1436168796679,2.5719712,9.309255,0.65541273
22,1436168796701,2.4642322,9.234436,0.6667852
23,1436168796716,2.48578,9.260772,0.5967548
24,1436168796739,2.5091233,9.205107,0.64703304
25,1436168796759,2.4708161,9.242816,0.62249243
26,1436168796777,2.534861,9.315839,0.6631939
27,1436168796799,2.4540567,9.31943,0.7326257
28,1436168796819,2.345719,9.317635,0.56682724
29,1436168796839,2.397793,9.255983,0.55964464
30,1436168796859,2.5318682,9.114726,0.6488287
31,1436168796878,2.5594015,9.197925,0.7338228
32,1436168796897,2.4588451,9.35235,0.7218518
33,1436168796918,2.4594438,9.344569,0.6799533
34,1436168796939,2.4588451,9.293094,0.6715736
35,1436168796959,2.4343045,9.416395,0.6135142
36,1436168796983,2.5240872,9.337985,0.51714754
37,1436168797058,2.630629,9.156026,0.6027403
38,1436168797059,2.569577,9.126697,0.6919243
39,1436168797060,2.5570073,9.26197,0.6679823
40,1436168797061,2.5761611,9.2865095,0.51475334
41,1436168797078,2.6288335,9.257779,0.54887074
42,1436168797147,2.5007436,9.296086,0.66139823
43,1436168797148,2.4007857,9.348759,0.6775591
44,1436168797149,2.4013844,9.367314,0.56323594
45,1436168797195,2.534861,9.233837,0.4985925
46,1436168797196,2.5420437,9.190742,0.6500258
47,1436168797197,2.5169046,9.316438,0.7433996
48,1436168797219,2.4995465,9.388862,0.58298814
49,1436168797238,2.4522612,9.264962,0.48602295
50,1436168797256,2.4959552,9.169792,0.55605334
51,1436168797279,2.4911668,9.181764,0.6793547
52,1436168797298,2.5007436,9.3026705,0.6841431
53,1436168797318,2.5995045,9.353547,0.58119243
54,1436168797339,2.597709,9.272743,0.7589619
55,1436168797359,2.544438,9.329605,0.64823014
56,1436168797378,2.48578,9.300875,0.57879823
57,1436168797398,2.480393,9.264363,0.43754035
58,1436168797418,2.6060886,9.227253,0.41240123
59,1436168797437,2.5582044,9.177573,0.6356605
60,1436168797458,2.497751,9.281123,0.8098387
61,1436168797478,2.4582467,9.36073,0.7009025
62,1436168797498,2.496554,9.333197,0.5291186
63,1436168797520,2.5689783,9.20391,0.43514615
64,1436168797536,2.529474,9.178172,0.59017074
65,1436168797557,2.4103625,9.23264,0.66858083
66,1436168797576,2.4714148,9.258977,0.5835867
67,1436168797601,2.5941176,9.296685,0.4950012
68,1436168797623,2.6503813,9.3182335,0.5602432
