id,attr_time,attr_x,attr_y,attr_z
1,1436164600937,-0.011739243,-0.19033763,0.21278031
2,1436164600957,-0.043504234,-0.12375332,0.2295791
3,1436164600978,-0.070382304,-0.14421731,0.24088012
4,1436164600994,-0.04991832,-0.17140082,0.23110628
5,1436164601017,-0.03159236,-0.13352716,0.2078934
6,1436164601034,-0.042282503,-0.13780323,0.20392278
7,1436164601057,-0.03128693,-0.12955654,0.22683021
8,1436164601074,-0.019069623,-0.14849336,0.24118555
9,1436164601094,-0.01723703,-0.1909485,0.24393445
10,1436164601117,-0.025178276,-0.2217972,0.23171714
11,1436164601138,-0.04655856,-0.17109537,0.21766724
12,1436164601158,-0.04900202,-0.12008813,0.22744109
13,1436164601177,-0.035562985,-0.14757706,0.24026926
14,1436164601194,-0.02304025,-0.17109537,0.24332358
15,1436164601217,-0.029148903,-0.20652556,0.23171714
16,1436164601237,-0.05083462,-0.16926278,0.22805195
17,1436164601257,-0.046863995,-0.16040523,0.23202257
18,1436164601274,-0.029454336,-0.13902494,0.23813123
19,1436164601295,-0.004714288,-0.15551831,0.23293887
20,1436164601313,-0.020596787,-0.18025835,0.23721492
21,1436164601334,-0.04197707,-0.2077473,0.22896825
22,1436164601418,-0.038617313,-0.17201167,0.21705638
23,1436164601419,-0.02884347,-0.10695452,0.22194329
24,1436164601420,-0.034952123,-0.13474889,0.24240728
25,1436164601421,-0.0431988,-0.19583541,0.24607247
26,1436164601434,-0.04869659,-0.20133321,0.22988455
27,1436164601457,-0.04197707,-0.17445514,0.21339118
28,1436164601474,-0.036479283,-0.14543903,0.21308576
29,1436164601496,-0.034952123,-0.14727163,0.22621936
30,1436164601516,-0.0105175115,-0.15246399,0.23599319
31,1436164601534,-0.007768616,-0.17873119,0.24332358
32,1436164601578,-0.019375056,-0.19064306,0.23752037
33,1436164601579,-0.03037063,-0.16895735,0.23935296
34,1436164601597,-0.04289337,-0.15215856,0.23446603
35,1436164601614,-0.02670544,-0.16132154,0.23568776
36,1436164601636,-0.008990347,-0.16040523,0.2350769
37,1436164601657,-0.0013545305,-0.15276942,0.21949984
38,1436164601677,-0.0053251535,-0.11978269,0.22408132
39,1436164601698,-0.021818519,-0.14269014,0.23965839
40,1436164601718,-0.022734817,-0.17628773,0.2237759
41,1436164601737,-0.015404433,-0.13658148,0.21369661
42,1436164601758,-0.016320731,-0.13810866,0.23293887
43,1436164601777,-0.026400007,-0.18422897,0.24576704
44,1436164601800,-0.034341257,-0.19461368,0.25615174
45,1436164601814,-0.03831188,-0.22301891,0.23813123
46,1436164601838,-0.037701014,-0.19552998,0.21247488
47,1436164601856,-0.052972645,-0.16223782,0.20361733
48,1436164601876,-0.04655856,-0.15276942,0.22133243
49,1436164601897,-0.015404433,-0.17567687,0.24851593
50,1436164601918,-0.0105175115,-0.22485152,0.24301815
51,1436164601938,-0.024872843,-0.20652556,0.2332443
52,1436164601958,-0.03128693,-0.16956821,0.2246922
53,1436164601978,-0.025178276,-0.15612918,0.23171714
54,1436164601996,0.0016997904,-0.16773562,0.2341606
55,1436164602016,0.0075030103,-0.15796177,0.23629862
56,1436164602036,-0.017847896,-0.1741497,0.23904753
57,1436164602056,-0.04197707,-0.16529216,0.23629862
58,1436164602080,-0.04625313,-0.16651389,0.2341606
59,1436164602155,-0.03037063,-0.17201167,0.21583465
60,1436164602156,-0.032203227,-0.13322173,0.21400204
61,1436164602157,-0.03250866,-0.14757706,0.221027
62,1436164602158,-0.023956548,-0.15429658,0.23446603
63,1436164602175,-0.02884347,-0.17567687,0.23568776
64,1436164602196,-0.025789142,-0.16681932,0.2237759
65,1436164602215,-0.022734817,-0.1310837,0.21949984
