id,attr_time,attr_x,attr_y,attr_z
1,1436181038024,0.7493851,9.660006,-0.6715736
2,1436181038025,0.75477207,9.618706,-0.38486794
3,1436181038044,0.7649474,9.516354,-0.260968
4,1436181038050,0.81522566,9.526528,-0.2645593
5,1436181038072,0.8110358,9.615114,-0.50996494
6,1436181038092,0.81761986,9.611523,-0.61650693
7,1436181038110,0.8218097,9.557653,-0.47225627
8,1436181038130,0.79726917,9.44752,-0.36511576
9,1436181038152,0.81761986,9.473856,-0.42437226
10,1436181038171,0.82001406,9.6049385,-0.5722142
11,1436181038191,0.8403648,9.66659,-0.52133745
12,1436181038211,0.80804306,9.628283,-0.28072014
13,1436181038236,0.81163436,9.497798,-0.24480712
14,1436181038253,0.8122329,9.560646,-0.47046062
15,1436181038273,0.85293436,9.619903,-0.676362
16,1436181038293,0.8098387,9.61691,-0.60094464
17,1436181038313,0.7541735,9.584588,-0.37708676
18,1436181038333,0.7553706,9.485827,-0.21667525
19,1436181038353,0.8002619,9.499594,-0.41718966
20,1436181038373,0.8170213,9.546281,-0.7068881
21,1436181038393,0.81343,9.57561,-0.7350199
22,1436181038413,0.7781156,9.631873,-0.44891283
23,1436181038432,0.78050977,9.609727,-0.3226187
24,1436181038451,0.8026561,9.522339,-0.20350714
25,1436181038473,0.7715315,9.510966,-0.34117374
26,1436181038494,0.777517,9.595362,-0.6679823
27,1436181038513,0.82001406,9.659407,-0.70509243
28,1436181038530,0.7787141,9.602545,-0.53211135
29,1436181038554,0.6979098,9.522937,-0.2208651
30,1436181038573,0.7092823,9.531916,-0.11731588
31,1436181038614,0.8678981,9.592968,-0.78410107
32,1436181038615,0.878672,9.583391,-0.80684596
33,1436181038663,0.7703344,9.570223,-0.4201824
34,1436181038664,0.7326257,9.555259,-0.14425065
35,1436181038670,0.81522566,9.498397,-0.26515785
36,1436181038691,0.8702923,9.540296,-0.6015432
37,1436181038710,0.85054016,9.609129,-0.736217
38,1436181038748,0.830788,9.671378,-0.50637364
