id,attr_time,attr_x,attr_y,attr_z
1,1436182170007,-0.21791954,0.30115655,0.0070116725
2,1436182170029,-0.20325878,0.3298672,0.0064008073
3,1436182170048,-0.18523826,0.33872476,-1.3277866e-05
4,1436182170069,-0.18523826,0.33169982,0.0076225377
5,1436182170087,-0.1837111,0.29749137,0.017701814
6,1436182170111,-0.19226322,0.27611107,0.011287729
7,1436182170129,-0.20478594,0.312763,0.009760566
8,1436182170149,-0.2099783,0.35002577,0.008844268
9,1436182170169,-0.20295335,0.35094208,0.010982296
10,1436182170189,-0.18310022,0.33383784,0.019534409
11,1436182170209,-0.18737629,0.28741208,0.015258353
12,1436182170229,-0.20295335,0.29352075,0.010371432
13,1436182170246,-0.22433363,0.33169982,0.0073171053
14,1436182170267,-0.22066844,0.3567453,0.005789942
15,1436182170289,-0.19989902,0.3454443,0.006095375
16,1436182170308,-0.19104147,0.30573803,0.015258353
17,1436182170328,-0.20967287,0.2687807,0.012814892
18,1436182170347,-0.22952598,0.2846632,0.008538836
19,1436182170369,-0.23074771,0.33047807,0.008538836
20,1436182170393,-0.20417508,0.34727687,0.010065999
21,1436182170409,-0.17485355,0.31612274,0.015258353
22,1436182170429,-0.18340567,0.2742785,0.016174652
23,1436182170448,-0.21211633,0.25931227,0.016785517
24,1436182170468,-0.21791954,0.31245756,0.010982296
25,1436182170488,-0.19806643,0.3390302,0.007927971
26,1436182170506,-0.19470666,0.32406402,0.018618112
27,1436182170577,-0.2063131,0.28435776,0.016480085
28,1436182170578,-0.21425435,0.2755002,0.018618112
29,1436182170589,-0.22005758,0.28832838,0.017701814
30,1436182170590,-0.21822499,0.2950479,0.008844268
31,1436182170606,-0.20020446,0.3249803,-0.0015404411
32,1436182170630,-0.19134691,0.32620203,0.01373119
33,1436182170646,-0.19470666,0.28863382,0.018923545
34,1436182170666,-0.20661855,0.28863382,0.015869219
35,1436182170688,-0.21303263,0.31123585,0.008844268
36,1436182170706,-0.20570225,0.335365,0.0070116725
37,1436182170729,-0.1968447,0.32803464,0.014342056
38,1436182170748,-0.21058917,0.29932395,0.011898594
39,1436182170767,-0.21914127,0.2950479,0.013120325
40,1436182170787,-0.2145598,0.31673363,0.010371432
41,1436182170807,-0.19989902,0.32162052,0.0054845093
42,1436182170836,-0.18554369,0.33047807,0.010676865
43,1436182170867,-0.19104147,0.31612274,0.011593162
44,1436182170868,-0.21058917,0.30879235,0.020450708
45,1436182170886,-0.21669781,0.31306842,0.020145275
46,1436182170907,-0.20264792,0.31306842,0.013120325
47,1436182170926,-0.18523826,0.31398472,0.01373119
48,1436182170953,-0.18768172,0.2904664,0.0146474885
49,1436182170966,-0.20936744,0.2932153,0.015258353
50,1436182170987,-0.22219561,0.30390546,0.013425757
51,1436182171006,-0.21608695,0.3286455,0.007927971
52,1436182171027,-0.17699158,0.3213151,0.01250946
53,1436182171046,-0.16752318,0.26725352,0.01709095
54,1436182171087,-0.19562297,0.2669481,0.019839842
55,1436182171088,-0.21578152,0.30726522,0.015258353
56,1436182171107,-0.20967287,0.3475823,0.01250946
57,1436182171127,-0.18951431,0.34727687,0.013425757
58,1436182171147,-0.19134691,0.30451632,0.012814892
59,1436182171167,-0.19348493,0.2736676,0.01373119
60,1436182171186,-0.20753483,0.29168814,0.012204027
61,1436182171206,-0.2099783,0.3191771,0.009455133
62,1436182171230,-0.20906201,0.34300083,0.0067062397
63,1436182171246,-0.1959284,0.3475823,0.009455133
64,1436182171266,-0.18340567,0.3109304,0.016480085
65,1436182171286,-0.18676542,0.25137103,0.021977872
66,1436182171306,-0.21120003,0.2587014,0.010065999
67,1436182171325,-0.21975215,0.34208453,0.011593162
68,1436182171346,-0.20448051,0.36285394,0.013425757
69,1436182171366,-0.19104147,0.30695978,0.01495292
70,1436182171393,-0.18554369,0.2745839,0.011898594
71,1436182171405,-0.20020446,0.27214044,0.019534409
72,1436182171425,-0.21120003,0.28802294,0.016174652
73,1436182171445,-0.21211633,0.3359759,0.01250946
74,1436182171465,-0.20295335,0.35430184,0.00029215496
75,1436182171485,-0.20386964,0.35369098,0.008844268
76,1436182171505,-0.20234248,0.29382616,0.023199601
77,1436182171525,-0.20784026,0.2397646,0.018007247
78,1436182171545,-0.21791954,0.28435776,0.010065999
79,1436182171565,-0.22250104,0.34300083,0.013120325
80,1436182171585,-0.20784026,0.3277292,0.01373119
81,1436182171605,-0.20203705,0.3017674,0.016174652
82,1436182171626,-0.20814571,0.26969698,0.02655936
83,1436182171648,-0.21303263,0.2828306,0.025337629
84,1436182171667,-0.19226322,0.31703904,0.01831268
85,1436182171689,-0.17485355,0.32192597,0.01495292
86,1436182171711,-0.16630143,0.3213151,0.01495292
87,1436182171730,-0.17027205,0.3017674,0.020145275
88,1436182171749,-0.1931795,0.2755002,0.022283304
89,1436182171768,-0.2258608,0.2913827,0.018007247
90,1436182171787,-0.2417433,0.35460725,0.011287729
91,1436182171808,-0.22799882,0.3738495,0.008844268
92,1436182171828,-0.20661855,0.3454443,0.0015138853
93,1436182171850,-0.19440123,0.29840767,0.0067062397
94,1436182171879,-0.22127931,0.2764165,0.012814892
95,1436182171897,-0.23380205,0.3026837,0.010065999
96,1436182171907,-0.21242176,0.34788775,0.003346481
97,1436182171927,-0.17302096,0.35705072,0.010982296
98,1436182171948,-0.1696612,0.27916542,0.016174652
99,1436182171966,-0.20050989,0.25137103,0.01373119
100,1436182171990,-0.23868896,0.30970865,0.0146474885
101,1436182172007,-0.24296503,0.36071593,0.010065999
102,1436182172027,-0.197761,0.3906483,-1.3277866e-05
103,1436182172048,-0.1669123,0.31612274,0.006095375
104,1436182172067,-0.18707085,0.24740042,0.014036623
105,1436182172087,-0.22799882,0.2751948,0.013425757
106,1436182172107,-0.25182256,0.35979962,0.015563786
107,1436182172127,-0.20753483,0.39003745,0.0073171053
108,1436182172149,-0.16049822,0.31551188,0.005179077
109,1436182172169,-0.1809622,0.24098633,0.010065999
110,1436182172189,-0.22891513,0.25411993,0.013425757
111,1436182172211,-0.27045396,0.34177908,0.01495292
112,1436182172230,-0.24540849,0.37904188,0.010982296
113,1436182172252,-0.18707085,0.36163223,0.005179077
114,1436182172267,-0.15713847,0.2715296,0.009455133
115,1436182172291,-0.1986773,0.23335052,0.010982296
116,1436182172310,-0.23441291,0.30726522,0.011593162
117,1436182172332,-0.2286097,0.3530801,0.015563786
118,1436182172349,-0.19531754,0.34177908,0.0054845093
119,1436182172371,-0.18645999,0.30512717,0.0027356157
120,1436182172391,-0.20448051,0.28680122,0.012204027
121,1436182172411,-0.21822499,0.2733622,0.015258353
122,1436182172432,-0.220363,0.28893924,0.011898594
123,1436182172449,-0.21394892,0.33292156,0.011593162
124,1436182172471,-0.20478594,0.35277468,0.0054845093
125,1436182172490,-0.18218394,0.32956177,0.0146474885
126,1436182172509,-0.1782133,0.2483167,0.01709095
127,1436182172598,-0.20173162,0.23273964,0.018923545
128,1436182172599,-0.22372277,0.27122417,0.014342056
129,1436182172600,-0.22738796,0.35552356,0.013425757
130,1436182172601,-0.18554369,0.40683624,0.009455133
131,1436182172608,-0.143394,0.35888332,0.01831268
132,1436182172628,-0.13209298,0.2736676,0.031140849
133,1436182172651,-0.20478594,0.2229658,0.025337629
134,1436182172668,-0.26739964,0.3362813,0.009760566
135,1436182172688,-0.24846281,0.45753807,0.0005975873
136,1436182172709,-0.1968447,0.38576138,0.0012084527
137,1436182172731,-0.15805475,0.2577851,-0.005205632
138,1436182172750,-0.20936744,0.17104226,-0.005205632
139,1436182172769,-0.26403987,0.28893924,0.009455133
140,1436182172789,-0.24021614,0.39645153,0.02075614
141,1436182172811,-0.19837186,0.3793473,0.010371432
142,1436182172831,-0.1705775,0.34025192,0.0146474885
143,1436182172849,-0.17576984,0.26297748,0.0146474885
144,1436182172876,-0.19623384,0.2574797,0.015258353
145,1436182172888,-0.1986773,0.31673363,0.009760566
