id,attr_time,attr_x,attr_y,attr_z
1,1437067245606,1.5705963,9.466674,-1.0372878
2,1437067245627,1.5658079,9.433155,-1.0773908
3,1437067245646,1.5622166,9.404425,-1.1617863
4,1437067245665,1.5682021,9.43076,-1.1384429
5,1437067245685,1.5316905,9.430161,-1.1773487
6,1437067245705,1.4915876,9.42238,-1.168969
7,1437067245728,1.5107412,9.431957,-1.1312603
8,1437067245746,1.5077485,9.369708,-1.1097125
9,1437067245767,1.4449008,9.375095,-1.0199299
10,1437067245785,1.4562732,9.422979,-1.0366893
11,1437067245806,1.4616601,9.43914,-1.1186907
12,1437067245827,1.483208,9.478644,-1.1659763
13,1437067245845,1.5101427,9.48044,-1.2174516
14,1437067245867,1.5245079,9.475652,-1.2336124
15,1437067245884,1.5346833,9.474455,-1.2551602
16,1437067245905,1.5269021,9.439739,-1.2000936
17,1437067245925,1.5143325,9.44333,-1.1701661
18,1437067245947,1.5053543,9.454104,-1.1228806
19,1437067245969,1.4885949,9.4972,-1.0259154
20,1437067245987,1.4377182,9.509171,-1.0767922
21,1437067246006,1.4095862,9.507974,-1.1031284
22,1437067246025,1.423353,9.491813,-1.1558008
23,1437067246046,1.4371196,9.451111,-1.1976994
24,1437067246065,1.4760253,9.420585,-1.1719618
25,1437067246084,1.4981717,9.443929,-1.1504139
26,1437067246105,1.489792,9.437943,-1.0887632
27,1437067246132,1.4760253,9.424176,-1.0767922
28,1437067246144,1.4700398,9.424775,-1.0809821
29,1437067246165,1.4742297,9.436746,-1.0941502
30,1437067246185,1.4676456,9.443929,-1.1390414
31,1437067246205,1.5047557,9.466674,-1.1546037
32,1437067246227,1.5161282,9.455899,-1.1857284
33,1437067246246,1.5652094,9.46847,-1.18094
34,1437067246267,1.5699978,9.469068,-1.2144588
35,1437067246288,1.5496471,9.458294,-1.2336124
36,1437067246320,1.5023615,9.466075,-1.1366472
37,1437067246343,1.520318,9.461287,-1.0851719
38,1437067246347,1.5029601,9.43076,-1.0564415
39,1437067246365,1.5574282,9.441534,-1.0995371
40,1437067246385,1.6382325,9.464878,-1.2018893
41,1437067246406,1.6843209,9.42238,-1.3000516
42,1437067246426,1.6370354,9.503185,-1.3838485
43,1437067246447,1.6484078,9.449316,-1.2078748
44,1437067246466,1.553837,9.451111,-1.2479776
45,1437067246486,1.5508442,9.455301,-1.1899183
46,1437067246506,1.5358804,9.4217825,-1.1540052
47,1437067246525,1.5652094,9.483433,-1.0235212
48,1437067246545,1.508347,9.454702,-1.1013328
49,1437067246567,1.447295,9.46009,-1.0708067
50,1437067246586,1.407192,9.458294,-1.0259154
51,1437067246606,1.389834,9.414599,-1.0462662
52,1437067246626,1.3994108,9.41879,-1.1139023
53,1437067246648,1.4041992,9.432556,-1.067814
54,1437067246670,1.417966,9.432556,-1.2210429
55,1437067246688,1.4550761,9.419388,-1.1779473
56,1437067246706,1.5185224,9.428965,-1.1282675
57,1437067246726,1.543063,9.409213,-1.1623849
58,1437067246745,1.5269021,9.428367,-1.1725603
59,1437067246767,1.5053543,9.45171,-1.1905168
60,1437067246787,1.4766239,9.48044,-1.1905168
61,1437067246857,1.4676456,9.456498,-1.1623849
62,1437067246858,1.4754268,9.4457245,-1.1480197
63,1437067246870,1.4969746,9.439739,-1.1821371
64,1437067246871,1.4975731,9.418191,-1.1468226
65,1437067246886,1.501763,9.417592,-1.1546037
66,1437067246949,1.520318,9.404425,-1.1408371
67,1437067246950,1.5586253,9.378687,-1.1444284
68,1437067246951,1.5598224,9.38168,-1.1522095
69,1437067246973,1.560421,9.366715,-1.2234371
70,1437067246986,1.5652094,9.393052,-1.18094
71,1437067247008,1.5580268,9.440337,-1.1737574
72,1437067247026,1.5747862,9.444528,-1.1797429
73,1437067247049,1.5352819,9.496601,-1.1414356
74,1437067247068,1.54845,9.531317,-1.1599907
75,1437067247090,1.5412674,9.522937,-1.2150574
76,1437067247106,1.5316905,9.396643,-1.2096704
77,1437067247127,1.555034,9.363723,-1.2192472
78,1437067247149,1.5574282,9.302073,-1.1486182
79,1437067247169,1.5807717,9.337985,-1.1659763
80,1437067247186,1.5915456,9.462483,-1.1031284
81,1437067247207,1.496376,9.551667,-1.0486604
82,1437067247229,1.4652514,9.633669,-1.0654198
83,1437067247252,1.4676456,9.5253315,-1.127669
84,1437067247269,1.484405,9.455301,-1.1851299
85,1437067247294,1.5592239,9.416395,-1.1234791
86,1437067247307,1.6783354,9.317635,-1.1246762
87,1437067247332,1.6998832,9.278131,-1.1246762
