id,attr_time,attr_x,attr_y,attr_z
1,1436607529533,-6.570288,7.055114,-0.48482585
2,1436607529534,-6.581062,7.04434,-0.4770447
3,1436607529552,-6.600814,7.03177,-0.4938041
4,1436607529581,-6.6307416,7.013814,-0.5033809
5,1436607529586,-6.619968,6.995259,-0.48841715
6,1436607529606,-6.628946,6.9796963,-0.50876784
7,1436607529628,-6.615778,7.008427,-0.50876784
8,1436607529646,-6.591836,7.0132155,-0.5033809
9,1436607529671,-6.602011,7.0305734,-0.4830302
10,1436607529695,-6.6085954,7.0227923,-0.46806642
11,1436607529707,-6.625355,7.000047,-0.4902128
12,1436607529730,-6.6403184,7.000047,-0.48722005
13,1436607529746,-6.6445084,6.999449,-0.48362875
14,1436607529768,-6.619968,6.9916677,-0.46567222
15,1436607529790,-6.6145806,7.001843,-0.50517654
16,1436607529807,-6.607398,7.006033,-0.4878186
17,1436607529828,-6.597223,7.013814,-0.4842273
18,1436607529850,-6.599617,7.0329676,-0.5069722
19,1436607529870,-6.6121864,7.04015,-0.48602295
20,1436607529888,-6.600814,7.033566,-0.48243165
21,1436607529909,-6.6163764,7.008427,-0.4782418
22,1436607529929,-6.6295447,7.0012445,-0.48362875
23,1436607529949,-6.6349316,7.0168066,-0.47764325
24,1436607529977,-6.6349316,6.9982514,-0.4770447
25,1436607530037,-6.631939,7.000047,-0.48362875
26,1436607530038,-6.606201,7.0221934,-0.50038815
27,1436607530039,-6.5858502,7.0227923,-0.50397944
28,1436607530058,-6.603807,7.019201,-0.4950012
29,1436607530068,-6.595427,7.0347633,-0.4902128
30,1436607530108,-6.5828576,7.0395517,-0.48841715
31,1436607530109,-6.5864487,7.0383544,-0.4950012
32,1436607530128,-6.599617,7.0341644,-0.4758476
33,1436607530148,-6.6361284,6.987478,-0.46507367
34,1436607530170,-6.657078,6.980295,-0.4758476
35,1436607530188,-6.6492968,6.981492,-0.48482585
36,1436607530213,-6.640917,6.995259,-0.5069722
37,1436607530226,-6.615778,7.0186024,-0.48482585
38,1436607530246,-6.5762734,7.0347633,-0.51235914
39,1436607530273,-6.5601125,7.049727,-0.4902128
40,1436607530290,-6.5631056,7.067085,-0.47165772
41,1436607530311,-6.5631056,7.0341644,-0.4878186
42,1436607530328,-6.6109896,7.005434,-0.480636
43,1436607530351,-6.631939,7.0126166,-0.5129577
44,1436607530370,-6.6205664,6.996456,-0.50397944
45,1436607530391,-6.607398,7.023989,-0.49440265
46,1436607530409,-6.593033,7.031172,-0.47884035
47,1436607530430,-6.5858502,7.032369,-0.4973954
48,1436607530451,-6.606201,7.032369,-0.4878186
49,1436607530470,-6.613982,7.021595,-0.4938041
50,1436607530489,-6.630143,7.038953,-0.49919105
51,1436607530556,-6.6085954,7.029975,-0.4890157
52,1436607530557,-6.613982,6.995259,-0.46866497
53,1436607530558,-6.6079965,6.9820905,-0.48722005
54,1436607530576,-6.627749,6.96593,-0.4985925
55,1436607530587,-6.615778,6.9988503,-0.521936
56,1436607530628,-6.6187706,7.0132155,-0.5081693
57,1436607530629,-6.6265516,7.018004,-0.45609543
58,1436607530650,-6.6002154,7.015011,-0.5009867
59,1436607530673,-6.6175733,7.005434,-0.4985925
60,1436607530687,-6.619968,6.9946604,-0.49081135
61,1436607530711,-6.640917,7.001843,-0.50996494
62,1436607530730,-6.63972,6.993463,-0.47524905
63,1436607530747,-6.6295447,6.9928646,-0.50397944
64,1436607530773,-6.612785,7.016208,-0.51595044
65,1436607530790,-6.605004,7.004237,-0.49679685
66,1436607530809,-6.5870476,7.0156097,-0.50278234
67,1436607530827,-6.5870476,7.0275807,-0.49679685
68,1436607530847,-6.593033,7.0395517,-0.48243165
69,1436607530869,-6.611588,7.03177,-0.49919105
70,1436607530890,-6.6283474,7.007828,-0.48003745
71,1436607530907,-6.628946,7.0156097,-0.47165772
72,1436607530930,-6.628946,7.000047,-0.5057751
73,1436607530949,-6.6361284,7.0126166,-0.5093664
74,1436607530978,-6.628946,7.038953,-0.51475334
75,1436607531039,-6.585252,7.041347,-0.4985925
76,1436607531040,-6.579865,7.031172,-0.47524905
77,1436607531041,-6.575675,7.049727,-0.4997896
78,1436607531065,-6.5666966,7.0515227,-0.4878186
79,1436607531068,-6.576872,7.0108213,-0.5033809
80,1436607531117,-6.6002154,7.008427,-0.49919105
81,1436607531118,-6.611588,7.015011,-0.5081693
82,1436607531131,-6.6187706,6.9916677,-0.492607
83,1436607531152,-6.6247563,7.0132155,-0.504578
84,1436607531172,-6.6187706,7.0102224,-0.49440265
85,1436607531190,-6.6367273,7.0209966,-0.51595044
86,1436607531208,-6.6187706,7.000047,-0.47884035
87,1436607531232,-6.6295447,7.0066314,-0.5033809
88,1436607531248,-6.6175733,6.9892735,-0.46447513
89,1436607531268,-6.622362,6.9904704,-0.4782418
90,1436607531289,-6.619369,7.007828,-0.4890157
91,1436607531313,-6.6187706,6.9970546,-0.4866215
92,1436607531334,-6.615179,7.015011,-0.50278234
93,1436607531353,-6.63134,7.012018,-0.48362875
94,1436607531371,-6.6229606,6.996456,-0.4938041
95,1436607531388,-6.6187706,7.016208,-0.51475334
96,1436607531408,-6.640917,7.0012445,-0.5021838
97,1436607531428,-6.630143,7.0006456,-0.50517654
98,1436607531451,-6.6145806,6.9958572,-0.4758476
99,1436607531471,-6.619968,7.00723,-0.5177461
100,1436607531530,-6.621165,7.0102224,-0.4770447
101,1436607531531,-6.612785,7.0329676,-0.49799395
102,1436607531532,-6.59004,7.0156097,-0.50876784
103,1436607531549,-6.606201,7.0263834,-0.50038815
104,1436607531570,-6.5960255,7.029975,-0.49081135
105,1436607531588,-6.601413,7.012018,-0.4914099
106,1436607531611,-6.6163764,7.0221934,-0.4914099
107,1436607531630,-6.633136,7.00723,-0.49559975
108,1436607531652,-6.634333,7.005434,-0.533907
109,1436607531671,-6.637326,7.0156097,-0.5117606
110,1436607531691,-6.603208,7.050924,-0.51834464
111,1436607531715,-6.567295,7.047333,-0.51235914
112,1436607531752,-6.5577183,7.055712,-0.45848963
113,1436607531753,-6.5846534,7.0305734,-0.49440265
114,1436607531768,-6.587646,7.0245876,-0.521936
115,1436607531788,-6.589442,7.0263834,-0.51235914
116,1436607531808,-6.615778,7.037756,-0.5398925
117,1436607531828,-6.6085954,7.0287776,-0.51954174
118,1436607531848,-6.6085954,7.0425444,-0.4997896
119,1436607531871,-6.575675,7.0485296,-0.5009867
120,1436607531890,-6.5828576,7.0461354,-0.52373165
121,1436607531911,-6.593033,7.0383544,-0.5177461
122,1436607531929,-6.6067996,7.019201,-0.50637364
123,1436607531951,-6.619968,7.016208,-0.504578
124,1436607532012,-6.6295447,7.012018,-0.48362875
125,1436607532013,-6.6295447,7.0102224,-0.5117606
126,1436607532014,-6.6265516,7.028179,-0.516549
127,1436607532034,-6.6085954,7.004237,-0.49200845
128,1436607532048,-6.597223,7.045537,-0.49799395
129,1436607532069,-6.609792,7.0245876,-0.50517654
130,1436607532088,-6.621763,7.0132155,-0.51834464
131,1436607532112,-6.607398,7.020398,-0.516549
132,1436607532130,-6.6085954,7.0305734,-0.5069722
133,1436607532149,-6.613982,7.033566,-0.48123455
134,1436607532168,-6.5936313,7.0209966,-0.4950012
135,1436607532191,-6.5990186,7.0102224,-0.504578
136,1436607532211,-6.618172,7.029376,-0.51834464
137,1436607532228,-6.621165,7.0024414,-0.4997896
138,1436607532249,-6.621763,7.0156097,-0.46088383
139,1436607532269,-6.616975,7.0090256,-0.48362875
140,1436607532289,-6.6079965,7.0144124,-0.48482585
141,1436607532308,-6.6247563,6.9928646,-0.45070848
142,1436607532335,-6.655881,6.9946604,-0.4842273
143,1436607532355,-6.646304,7.0108213,-0.47105917
144,1436607532372,-6.647501,7.0144124,-0.52612585
145,1436607532390,-6.609194,7.015011,-0.46567222
146,1436607532409,-6.6109896,7.0245876,-0.48841715
147,1436607532429,-6.5840545,7.029975,-0.49919105
148,1436607532450,-6.5936313,7.0168066,-0.45549688
149,1436607532472,-6.607398,7.0245876,-0.48362875
150,1436607532526,-6.618172,7.0066314,-0.4878186
151,1436607532527,-6.6283474,6.9916677,-0.4985925
152,1436607532529,-6.6391215,7.00304,-0.5021838
153,1436607532555,-6.6103907,6.9904704,-0.4866215
154,1436607532572,-6.6067996,7.019799,-0.47345337
155,1436607532602,-6.619369,7.028179,-0.46806642
156,1436607532611,-6.623559,7.012018,-0.47465047
157,1436607532633,-6.637924,6.999449,-0.47285482
158,1436607532651,-6.6624646,6.956353,-0.47345337
159,1436607532679,-6.657676,6.9701195,-0.4758476
160,1436607532691,-6.655282,6.9479733,-0.46926352
161,1436607532729,-6.6804214,6.977901,-0.45848963
162,1436607532730,-6.6283474,7.009624,-0.48602295
163,1436607532755,-6.6175733,7.013814,-0.47764325
164,1436607532772,-6.6163764,7.019201,-0.47884035
165,1436607532789,-6.6241574,7.0090256,-0.46208093
166,1436607532810,-6.6295447,7.00723,-0.4890157
167,1436607532830,-6.637924,7.0012445,-0.46746787
168,1436607532849,-6.6085954,7.0168066,-0.4770447
169,1436607532875,-6.6403184,6.999449,-0.45549688
170,1436607532892,-6.657676,7.008427,-0.45310268
171,1436607532911,-6.6391215,6.9982514,-0.47465047
172,1436607532937,-6.6510925,6.9767036,-0.47884035
173,1436607533026,-6.6469026,6.9743094,-0.48961425
174,1436607533027,-6.628946,6.976105,-0.49559975
175,1436607533060,-6.63134,6.9886746,-0.46327803
176,1436607533061,-6.6145806,7.008427,-0.45669398
177,1436607533062,-6.6295447,6.989872,-0.49081135
178,1436607533063,-6.6427126,6.986879,-0.46088383
179,1436607533139,-6.6445084,6.9850836,-0.45429978
180,1436607533140,-6.6732388,6.987478,-0.4842273
181,1436607533141,-6.6606693,6.9743094,-0.47644615
182,1436607533142,-6.634333,7.00723,-0.45848963
183,1436607533177,-6.6109896,7.018004,-0.44532153
184,1436607533178,-6.6109896,6.994062,-0.45370123
185,1436607533190,-6.6271505,6.995259,-0.47225627
186,1436607533218,-6.6247563,7.023989,-0.47465047
187,1436607533232,-6.6522894,6.9892735,-0.48722005
188,1436607533254,-6.658275,7.0024414,-0.480636
189,1436607533273,-6.6469026,6.985682,-0.4973954
190,1436607533293,-6.6271505,6.9808936,-0.45489833
191,1436607533316,-6.6265516,7.020398,-0.46088383
192,1436607533332,-6.6283474,7.00304,-0.45908818
193,1436607533353,-6.634333,7.0144124,-0.41958386
194,1436607533371,-6.6486983,6.9916677,-0.44532153
195,1436607533390,-6.6870055,6.963536,-0.4381389
196,1436607533410,-6.678027,6.964134,-0.46387658
197,1436607533429,-6.6684504,6.963536,-0.46986207
198,1436607533450,-6.6349316,6.9665284,-0.4782418
199,1436607533472,-6.6427126,6.9970546,-0.45429978
200,1436607533493,-6.6187706,7.000047,-0.46088383
201,1436607533511,-6.633734,6.9886746,-0.45250413
202,1436607533557,-6.6445084,6.9958572,-0.44232875
203,1436607533558,-6.6415157,6.977302,-0.46028528
204,1436607533577,-6.663662,6.9767036,-0.45968673
205,1436607533607,-6.6510925,6.956353,-0.47165772
206,1436607533611,-6.6744356,6.9886746,-0.46088383
207,1436607533630,-6.658275,6.9743094,-0.44532153
208,1436607533651,-6.645705,6.969521,-0.4285621
209,1436607533672,-6.654085,6.977901,-0.46148238
210,1436607533690,-6.6534867,7.001843,-0.45908818
211,1436607533719,-6.6654577,6.9623384,-0.44951138
212,1436607533731,-6.6492968,6.9844847,-0.45130703
213,1436607533750,-6.637326,6.989872,-0.4441244
214,1436607533770,-6.6469026,6.973711,-0.43754035
215,1436607533795,-6.655282,6.9599442,-0.46447513
216,1436607533811,-6.6840124,6.9677253,-0.45130703
217,1436607533833,-6.6708446,6.9892735,-0.4381389
218,1436607533853,-6.6684504,6.9808936,-0.44472298
219,1436607533871,-6.6349316,6.9677253,-0.44592008
220,1436607533890,-6.630143,6.976105,-0.43634325
221,1436607533911,-6.6247563,6.9796963,-0.45429978
