id,attr_time,attr_x,attr_y,attr_z
1,1436605249203,-1.7812861,9.3661175,-1.0354922
2,1436605249220,-1.7609353,9.358934,-1.0534488
3,1436605249239,-1.7663223,9.361329,-1.0564415
4,1436605249260,-1.7735049,9.355942,-1.0289081
5,1436605249280,-1.7806876,9.372103,-1.0283096
6,1436605249301,-1.7914615,9.372103,-1.0271125
7,1436605249320,-1.8052281,9.362526,-1.0223241
8,1436605249341,-1.8004397,9.391256,-1.0181342
9,1436605249362,-1.8004397,9.370906,-1.0414777
10,1436605249379,-1.8100165,9.376891,-1.027711
11,1436605249399,-1.774702,9.381081,-1.0366893
12,1436605249420,-1.769315,9.354745,-1.0791864
13,1436605249446,-1.7591397,9.360131,-1.0594343
14,1436605249465,-1.7429788,9.370906,-1.0588357
15,1436605249485,-1.7375919,9.384073,-1.0690111
16,1436605249503,-1.7417817,9.370906,-1.0259154
17,1436605249519,-1.7908629,9.377489,-1.0085574
18,1436605249544,-1.797447,9.36911,-1.0205284
19,1436605249561,-1.8064252,9.375095,-1.0307038
20,1436605251038,-1.7932571,9.3733,-1.027711
21,1436605251039,-1.7609353,9.374496,-1.0342951
22,1436605251040,-1.7794905,9.385271,-1.0247183
23,1436605251041,-1.769315,9.365519,-1.0540473
24,1436605251042,-1.7992426,9.3738985,-1.0426749
25,1436605251043,-1.7950528,9.360131,-1.0289081
26,1436605251044,-1.7848774,9.345168,-1.0456676
27,1436605251045,-1.7812861,9.370906,-1.0259154
28,1436605251046,-1.7926586,9.367912,-1.0259154
29,1436605251047,-1.8154035,9.372701,-1.0378864
30,1436605251048,-1.8058267,9.361329,-1.0253168
31,1436605251049,-1.7770962,9.372103,-1.0552444
32,1436605251050,-1.8010383,9.371504,-1.0498575
33,1436605251051,-1.774702,9.368511,-1.0420763
34,1436605251052,-1.774702,9.378088,-1.0444705
35,1436605251053,-1.7776948,9.355343,-1.043872
36,1436605251054,-1.7657237,9.357139,-1.0360907
37,1436605251055,-1.7723078,9.356541,-1.0169371
38,1436605251056,-1.8142064,9.356541,-1.0121487
39,1436605251057,-1.8130093,9.370906,-1.0175357
40,1436605251058,-1.8124107,9.357738,-1.0714053
41,1436605251059,-1.8171991,9.374496,-1.0426749
42,1436605251060,-1.8177977,9.384672,-1.043872
43,1436605251061,-1.8058267,9.379285,-1.0564415
44,1436605251062,-1.8118122,9.355343,-1.0522517
45,1436605251063,-1.79206,9.357139,-1.0013748
46,1436605251064,-1.775899,9.3583355,-1.0181342
47,1436605251065,-1.757344,9.36911,-1.0301052
48,1436605251066,-1.7729063,9.391256,-1.0390835
49,1436605251067,-1.7645266,9.355343,-1.0061632
50,1436605251068,-1.7836803,9.376891,-1.0390835
51,1436605251069,-1.7908629,9.377489,-1.0642227
52,1436605251070,-1.8010383,9.36911,-1.062427
53,1436605251071,-1.7938557,9.371504,-1.0528502
54,1436605251072,-1.8022354,9.3661175,-1.0588357
55,1436605251073,-1.8255788,9.3733,-1.0319009
56,1436605251074,-1.8357542,9.354146,-1.0384849
57,1436605251075,-1.8680758,9.379884,-1.0408791
58,1436605251076,-1.846528,9.360131,-1.0127473
59,1436605251077,-1.8441339,9.3822775,-0.98820674
60,1436605251078,-1.8423382,9.3738985,-1.0079589
61,1436605251079,-1.834557,9.3661175,-0.9959879
62,1436605251080,-1.8183962,9.351153,-1.0187328
63,1436605251081,-1.8183962,9.3733,-1.0067618
64,1436605251082,-1.8315643,9.390059,-1.0175357
65,1436605251083,-1.8189948,9.363723,-1.0181342
66,1436605251084,-1.8207904,9.379285,-1.0462662
67,1436605251085,-1.845331,9.375694,-1.0456676
68,1436605251086,-1.8297687,9.382876,-1.0229226
69,1436605251087,-1.8291701,9.348161,-1.0366893
70,1436605251088,-1.8100165,9.334992,-1.0594343
71,1436605251089,-1.7980455,9.337985,-1.0498575
72,1436605251090,-1.7621324,9.376292,-1.01574
73,1436605251091,-1.7489643,9.357738,-1.0324994
74,1436605251092,-1.7471687,9.3499565,-1.0684125
75,1436605251093,-1.7471687,9.352949,-1.0845734
76,1436605251094,-1.7717092,9.382876,-1.0552444
77,1436605251095,-1.8076223,9.357139,-1.067814
78,1436605251096,-1.8393455,9.382876,-1.0552444
79,1436605251097,-1.8507179,9.3661175,-1.0289081
80,1436605251098,-1.8483237,9.388264,-1.009156
81,1436605251099,-1.8405426,9.368511,-1.0079589
82,1436605251100,-1.8686744,9.346365,-1.0139444
83,1436605251101,-1.8842367,9.3583355,-0.9636662
84,1436605251102,-1.8836381,9.372103,-0.94930094
85,1436605251103,-1.8770541,9.339781,-0.9792285
86,1436605251104,-1.8950106,9.374496,-1.0289081
87,1436605251105,-1.8896236,9.360131,-1.01574
88,1436605251106,-1.8626889,9.376292,-1.002572
89,1436605251107,-1.827973,9.358934,-1.0217255
90,1436605251108,-1.8507179,9.340978,-1.0307038
91,1436605251109,-1.8806454,9.357738,-1.0163386
92,1436605251110,-1.8710686,9.354146,-1.0127473
93,1436605251111,-1.8710686,9.35235,-0.9923966
94,1436605251112,-1.8567034,9.361927,-1.0360907
95,1436605251113,-1.8596961,9.346964,-1.0498575
96,1436605251114,-1.8441339,9.344569,-1.0414777
97,1436605251120,-1.8477252,9.3661175,-1.0384849
98,1436605251140,-1.8495208,9.362526,-1.0336965
99,1436605251160,-1.8608932,9.367912,-1.0486604
100,1436605251180,-1.8614918,9.371504,-1.027711
101,1436605251200,-1.8525136,9.351752,-1.0510546
102,1436605251220,-1.809418,9.368511,-1.0175357
103,1436605251240,-1.8034325,9.351752,-0.9935937
104,1436605251260,-1.816002,9.34038,-1.0013748
105,1436605251280,-1.8255788,9.350554,-1.0079589
106,1436605251300,-1.8148049,9.3499565,-1.0055647
107,1436605251323,-1.8231846,9.372701,-1.0019734
108,1436605251341,-1.8291701,9.358934,-0.98700964
109,1436605251379,-1.8447324,9.36073,-1.0265139
110,1436605251389,-1.846528,9.370307,-1.0390835
111,1436605251401,-1.8668787,9.385271,-1.0390835
112,1436605251421,-1.875857,9.372701,-1.0319009
113,1436605251440,-1.8543092,9.381081,-1.0360907
114,1436605251461,-1.8447324,9.357139,-1.0073603
115,1436605251480,-1.8249803,9.35235,-1.0115502
116,1436605251500,-1.8112136,9.355343,-1.0307038
117,1436605251520,-1.8118122,9.36911,-1.0133458
118,1436605251540,-1.79206,9.379884,-0.99538934
119,1436605251560,-1.7992426,9.365519,-1.0073603
120,1436605251580,-1.8261774,9.36073,-1.0073603
121,1436605251601,-1.8321629,9.351153,-1.0169371
122,1436605251620,-1.8249803,9.361927,-1.0067618
123,1436605251641,-1.8351556,9.355343,-1.039682
124,1436605251660,-1.8088194,9.372701,-1.0360907
125,1436605251680,-1.8381484,9.363124,-1.0402806
126,1436605251701,-1.8537107,9.3661175,-1.0265139
127,1436605251721,-1.8680758,9.361927,-1.0061632
128,1436605251741,-1.858499,9.366715,-1.0193313
129,1436605251784,-1.8471266,9.367314,-1.021127
130,1436605251785,-1.8315643,9.353547,-1.0420763
131,1436605251801,-1.8166006,9.348161,-1.055843
132,1436605251821,-1.834557,9.372701,-1.0241197
133,1436605251841,-1.8327614,9.387665,-1.0283096
134,1436605251862,-1.8555063,9.362526,-1.0474633
135,1436605251881,-1.8303672,9.363723,-1.0450691
136,1436605251902,-1.8004397,9.3583355,-1.0414777
137,1436605251923,-1.7842789,9.361927,-1.0348936
138,1436605251945,-1.8058267,9.345168,-1.009156
139,1436605251966,-1.8297687,9.3661175,-1.0193313
140,1436605251984,-1.821389,9.332599,-1.0313023
141,1436605252006,-1.821389,9.353547,-1.0271125
142,1436605252024,-1.8429368,9.348759,-1.0049661
143,1436605252042,-1.8477252,9.351153,-0.9816227
144,1436605252064,-1.8632874,9.367314,-1.0001777
145,1436605252086,-1.8662802,9.394848,-0.9911995
146,1436605252105,-1.8728642,9.400234,-1.0085574
147,1436605252125,-1.8776526,9.378687,-1.0145429
148,1436605252142,-1.869273,9.355343,-1.0289081
149,1436605252166,-1.8255788,9.363723,-1.0408791
150,1436605252199,-1.8046296,9.346964,-1.039682
151,1436605252209,-1.785476,9.346365,-1.0145429
152,1436605252231,-1.7699136,9.359533,-1.0151415
153,1436605252242,-1.7729063,9.375694,-0.99658644
154,1436605252262,-1.8010383,9.369708,-0.99658644
155,1436605252283,-1.8201919,9.378687,-1.0019734
156,1436605252304,-1.8130093,9.367314,-1.0289081
157,1436605252338,-1.8249803,9.367314,-1.0366893
158,1436605252357,-1.8166006,9.36492,-1.0193313
159,1436605252362,-1.8297687,9.3583355,-1.0366893
160,1436605252382,-1.8267759,9.3661175,-1.0606314
161,1436605252403,-1.8261774,9.346365,-1.0390835
162,1436605252424,-1.827973,9.362526,-1.043872
163,1436605252445,-1.8016368,9.369708,-1.06123
164,1436605252464,-1.8046296,9.3733,-1.0432734
165,1436605252486,-1.7938557,9.3733,-1.0235212
166,1436605252506,-1.8166006,9.366715,-1.0055647
167,1436605252526,-1.827973,9.3499565,-1.0235212
168,1436605252544,-1.8291701,9.363723,-1.0175357
169,1436605252563,-1.8261774,9.372103,-1.0097545
170,1436605252584,-1.804031,9.361329,-1.0205284
171,1436605252603,-1.7830818,9.384672,-1.0241197
172,1436605252651,-1.7872716,9.367912,-1.0181342
173,1436605252659,-1.7866731,9.367912,-1.0121487
174,1436605252686,-1.7830818,9.384672,-1.0133458
175,1436605252687,-1.775899,9.3822775,-1.0103531
176,1436605252704,-1.7872716,9.346964,-0.97623575
177,1436605252735,-1.8273745,9.363124,-1.0127473
178,1436605252743,-1.8154035,9.36492,-1.0199299
179,1436605252766,-1.7986441,9.376891,-1.0271125
