id,attr_time,attr_x,attr_y,attr_z
1,1437500851934,0.020118713,0.15809458,0.23382857
2,1437500851956,0.0256165,0.16817386,0.23138511
3,1437500851975,0.0045416486,0.16481411,0.23902093
4,1437500851997,-0.018060366,0.16450867,0.2573469
5,1437500852013,0.045469623,0.11686119,0.27170223
6,1437500852034,0.0714314,0.12266441,0.24512959
7,1437500852054,-0.005537629,0.24667005,0.22344387
8,1437500852074,-0.059599202,0.35632038,0.21122655
9,1437500852139,-0.08036862,0.33219117,0.21397546
10,1437500852140,-0.07334367,0.30195338,0.23016338
11,1437500852141,-0.04402214,0.27721334,0.24910021
12,1437500852161,-0.022336423,0.2283441,0.25520885
13,1437500852173,-0.020198394,0.18955415,0.25245997
14,1437500852196,-0.02080926,0.16420324,0.24879476
15,1437500852214,-0.0049267635,0.14099036,0.24207525
16,1437500852233,0.06287928,0.035921544,0.23841006
17,1437500852254,0.10502899,0.03378351,0.23810463
18,1437500852273,0.08609216,0.108614504,0.21275373
19,1437500852296,0.04882938,0.17000645,0.20939396
20,1437500852318,0.027143661,0.13427085,0.22038954
21,1437500852333,0.020729579,0.08417989,0.22741449
22,1437500852353,0.039360967,0.012708664,0.23169054
23,1437500852374,0.062268417,-0.023026958,0.22863622
24,1437500852433,0.04913481,0.0020185187,0.22313844
25,1437500852434,0.030808855,0.072268024,0.21489175
26,1437500852435,0.018896982,0.114417724,0.21733521
27,1437500852453,0.031725153,0.10891994,0.22619276
28,1437500852474,0.039055537,0.09761893,0.23902093
29,1437500852494,0.024700202,0.10769821,0.24115896
30,1437500852513,0.018896982,0.09853523,0.24024266
31,1437500852533,0.008817706,0.09028855,0.23902093
32,1437500852554,0.010344867,0.09059398,0.24024266
33,1437500852572,0.029892556,0.10342215,0.23841006
34,1437500852593,0.0256165,0.12052638,0.22985795
35,1437500852612,0.01767525,0.12235898,0.23169054
36,1437500852633,0.01645352,0.11594489,0.23443943
37,1437500852652,0.02347847,0.11808292,0.23841006
38,1437500852672,0.027449094,0.11686119,0.2387155
39,1437500852692,0.025005635,0.11961008,0.24451871
40,1437500852712,0.025921933,0.12968935,0.24360242
41,1437500852732,0.023783904,0.1394632,0.2509328
42,1437500852752,0.026227366,0.14099036,0.25307083
43,1437500852773,0.027754527,0.14740445,0.254598
44,1437500852792,0.022867605,0.15656742,0.24543501
45,1437500852813,0.020729579,0.15687287,0.2423807
46,1437500852834,0.020118713,0.15962175,0.23993723
47,1437500852853,0.01645352,0.16114892,0.23993723
48,1437500852873,0.019202415,0.15687287,0.24054809
49,1437500852893,0.023783904,0.14618272,0.23474488
50,1437500852915,0.025921933,0.14007407,0.23657747
51,1437500852933,0.029587124,0.13335454,0.2350503
52,1437500852953,0.025921933,0.12663503,0.23932636
53,1437500852973,0.01645352,0.1263296,0.23260684
54,1437500852993,0.010955732,0.1272459,0.23352315
55,1437500853013,0.015537221,0.13457628,0.22985795
56,1437500853034,0.015537221,0.14160123,0.23260684
57,1437500853053,0.01859155,0.14740445,0.2350503
58,1437500853073,0.01767525,0.14954248,0.23474488
59,1437500853093,0.017980684,0.13885233,0.24451871
60,1437500853113,0.016148087,0.12663503,0.24176982
61,1437500853133,0.014315493,0.1235807,0.2387155
62,1437500853153,0.020118713,0.1394632,0.23566116
63,1437500853173,0.018286116,0.14770988,0.23077425
64,1437500853193,0.01767525,0.16359238,0.22955252
65,1437500853213,0.017369818,0.16206521,0.23260684
66,1437500853233,0.014620926,0.16237065,0.23627204
67,1437500853253,0.014010061,0.15320766,0.23382857
68,1437500853276,0.014620926,0.14832075,0.23810463
69,1437500853296,0.016148087,0.14984791,0.23535573
70,1437500853316,0.014315493,0.15320766,0.23352315
71,1437500853336,0.015231792,0.15992719,0.23566116
72,1437500853353,0.017064385,0.16175978,0.23169054
73,1437500853376,0.017064385,0.15809458,0.23352315
74,1437500853394,0.014620926,0.15962175,0.23107968
75,1437500853417,0.017369818,0.16634127,0.23016338
76,1437500853437,0.021340441,0.16328695,0.2396318
77,1437500853477,0.02225674,0.15015334,0.23932636
