id,attr_time,attr_x,attr_y,attr_z
1,1436801602162,-3.6445735,8.832211,-0.52971715
2,1436801602163,-3.6487634,8.79929,-0.51714754
3,1436801602164,-3.7391446,8.810662,-0.51954174
4,1436801602165,-3.769072,8.844181,-0.5303157
5,1436801602166,-3.7056258,8.841188,-0.51355624
6,1436801602179,-3.675698,8.817844,-0.5021838
7,1436801602196,-3.6721067,8.803479,-0.5315128
8,1436801602216,-3.6553473,8.832211,-0.52732295
9,1436801602250,-3.6673183,8.865729,-0.47465047
10,1436801602255,-3.6739025,8.859145,-0.43514615
11,1436801602276,-3.639785,8.80767,-0.47884035
12,1436801602295,-3.6715083,8.759187,-0.55725044
13,1436801602315,-3.6768951,8.823831,-0.5650316
14,1436801602336,-3.6942532,8.871116,-0.5518635
15,1436801602355,-3.7032316,8.8777,-0.50637364
16,1436801602376,-3.685275,8.842385,-0.50637364
17,1436801602405,-3.6822822,8.811261,-0.4914099
18,1436801602416,-3.667917,8.848969,-0.50876784
19,1436801602436,-3.6984432,8.86932,-0.50158525
20,1436801602455,-3.6822822,8.855554,-0.50038815
21,1436801602477,-3.6110547,8.822035,-0.53211135
22,1436801602499,-3.6248214,8.7951,-0.56203884
23,1436801602521,-3.650559,8.808268,-0.5081693
24,1436801602539,-3.7361517,8.885481,-0.48482585
25,1436801602559,-3.750517,8.865729,-0.43275195
26,1436801602581,-3.7175968,8.798691,-0.44651863
27,1436801602601,-3.6924577,8.801684,-0.47105917
28,1436801602621,-3.7110126,8.805275,-0.48722005
29,1436801602640,-3.7110126,8.901642,-0.48602295
30,1436801602656,-3.7020345,8.839393,-0.42556936
31,1436801602676,-3.7032316,8.75799,-0.42676646
32,1436801602696,-3.7630866,8.787917,-0.46088383
33,1436801602722,-3.7606924,8.7771435,-0.45190558
34,1436801602744,-3.7493198,8.783129,-0.4950012
35,1436801602762,-3.719991,8.820239,-0.45908818
36,1436801602778,-3.679888,8.866926,-0.45789108
37,1436801602802,-3.6774938,8.893861,-0.362123
38,1436801602877,-3.6236243,8.904634,-0.44651863
39,1436801602878,-3.6379895,8.831612,-0.56203884
40,1436801602879,-3.715801,8.766968,-0.44831428
41,1436801602880,-3.7738605,8.825027,-0.44532153
42,1436801602897,-3.74513,8.892664,-0.49679685
43,1436801602920,-3.6511576,8.89446,-0.46387658
44,1436801602936,-3.6343982,8.833407,-0.4441244
45,1436801602957,-3.7702692,8.765771,-0.4961983
46,1436801602978,-3.8714242,8.751406,-0.54408234
47,1436801602998,-3.8786068,8.701726,-0.51235914
48,1436801603017,-3.903746,8.705916,-0.5614403
49,1436801603036,-3.9073372,8.680179,-0.52073884
50,1436801603057,-3.8295257,8.610746,-0.44651863
51,1436801603077,-3.8145618,8.704121,-0.45609543
52,1436801603099,-3.918111,9.027337,-0.5710171
53,1436801603120,-3.702633,9.0315275,-0.39145198
54,1436801603140,-3.4410665,8.755595,-0.65780693
55,1436801603157,-3.5529952,8.796297,-0.5674258
