id,attr_time,attr_x,attr_y,attr_z
1,1436796648002,-1.1683705,9.504382,-0.3274071
2,1436796648021,-1.1402385,9.43076,-0.46208093
3,1436796648042,-1.1605892,9.503783,-0.43873745
4,1436796648062,-1.2617443,9.52593,-0.36391866
5,1436796648082,-1.2282255,9.510367,-0.30466217
6,1436796648105,-1.0821792,9.444528,-0.31483752
7,1436796648121,-1.122282,9.437943,-0.33997664
8,1436796648141,-1.2372037,9.498397,-0.32022446
9,1436796648162,-1.252766,9.556456,-0.29628247
10,1436796648184,-1.1384429,9.512762,-0.3453636
11,1436796648206,-1.0767922,9.474455,-0.4165911
12,1436796648226,-1.1540052,9.509171,-0.39504328
13,1436796648246,-1.1833342,9.556456,-0.2765303
14,1436796648264,-1.1917139,9.47206,-0.2681506
15,1436796648286,-1.1611878,9.472659,-0.3393781
16,1436796648304,-1.1851299,9.489418,-0.4309563
17,1436796648325,-1.1450269,9.51755,-0.38367084
18,1436796648346,-1.1174936,9.485229,-0.37469256
19,1436796648366,-1.1629834,9.48463,-0.28670564
20,1436796648386,-1.2419921,9.478046,-0.29269117
21,1436796648406,-1.270124,9.540296,-0.33159694
22,1436796648425,-1.1528081,9.528923,-0.40162733
23,1436796648445,-1.0348936,9.470863,-0.38606504
24,1436796648466,-1.0779893,9.485229,-0.3274071
25,1436796648483,-1.1755531,9.496002,-0.29388827
26,1436796648506,-1.1504139,9.54209,-0.28191724
27,1436796648526,-1.1180922,9.502586,-0.3417723
28,1436796648544,-1.1234791,9.516952,-0.39025488
29,1436796648567,-1.1833342,9.52174,-0.39683893
30,1436796648586,-1.1486182,9.497798,-0.3537433
31,1436796648612,-1.0947487,9.479243,-0.30047232
32,1436796648626,-1.1504139,9.510367,-0.28072014
33,1436796648645,-1.2126632,9.545084,-0.3309984
34,1436796648668,-1.1665748,9.504382,-0.35254622
35,1436796648683,-1.0977415,9.442732,-0.34237084
36,1436796648703,-1.2018893,9.481039,-0.31184477
