id,attr_time,attr_x,attr_y,attr_z
1,1436890975209,-2.8526914,9.139266,-0.7769185
2,1436890975229,-2.8030117,9.165004,-0.7541735
3,1436890975249,-2.8048072,9.136872,-0.7266402
4,1436890975270,-2.791639,9.144653,-0.7224504
5,1436890975289,-2.8311436,9.115324,-0.7553706
6,1436890975309,-2.847903,9.131485,-0.7679402
7,1436890975329,-2.8987796,9.147646,-0.74399817
8,1436890975349,-2.9173348,9.136273,-0.7146692
9,1436890975369,-2.8419175,9.121908,-0.74878657
10,1436890975389,-2.7850552,9.101558,-0.7457938
11,1436890975409,-2.8078,9.138069,-0.7380127
12,1436890975429,-2.7874494,9.141062,-0.712275
13,1436890975449,-2.7994204,9.150639,-0.7338228
14,1436890975469,-2.8161798,9.16261,-0.7074866
15,1436890975489,-2.7748797,9.160814,-0.7200562
16,1436890975509,-2.741361,9.1272955,-0.6991069
17,1436890975529,-2.7952304,9.13388,-0.7020996
18,1436890975549,-2.7665,9.143456,-0.705691
19,1436890975569,-2.7491422,9.175778,-0.6877344
20,1436890975589,-2.7778726,9.17099,-0.6721721
21,1436890975609,-2.7964275,9.131485,-0.700304
22,1436890975629,-2.8299465,9.124901,-0.7206547
23,1436890975649,-2.8293478,9.154829,-0.7344214
24,1436890975669,-2.789245,9.173384,-0.7116765
25,1436890975689,-2.7635074,9.165004,-0.6919243
26,1436890975733,-2.771887,9.129091,-0.6847417
27,1436890975734,-2.7647045,9.120711,-0.6943185
28,1436890975750,-2.7694929,9.128492,-0.6919243
29,1436890975768,-2.7461493,9.138668,-0.7032967
30,1436890975789,-2.7724855,9.1272955,-0.7398083
31,1436890975810,-2.7874494,9.105747,-0.6703765
32,1436890975828,-2.7814639,9.085996,-0.6572084
33,1436890975848,-2.7563248,9.0794115,-0.6787562
34,1436890975869,-2.7748797,9.144653,-0.6512229
35,1436890975888,-2.7922378,9.189545,-0.62967503
36,1436890975908,-2.7575219,9.163208,-0.6278794
37,1436890975928,-2.8060043,9.154829,-0.62847793
38,1436890975948,-2.825158,9.19134,-0.62129533
39,1436890975968,-2.8221653,9.164406,-0.64463884
40,1436890975988,-2.7868507,9.184157,-0.6560113
41,1436890976008,-2.7886465,9.267356,-0.6853402
42,1436890976028,-2.753332,9.19972,-0.64463884
43,1436890976048,-2.6485856,9.105747,-0.6051345
44,1436890976068,-2.6276364,9.136273,-0.60453594
45,1436890976088,-2.689287,9.146449,-0.58298814
46,1436890976108,-2.718616,9.156026,-0.61650693
47,1436890976128,-2.806603,9.175778,-0.6194997
48,1436890976153,-2.8209682,9.186552,-0.6404489
49,1436890976171,-2.7820623,9.150639,-0.6434417
50,1436890976193,-2.7180176,9.134478,-0.66618663
51,1436890976214,-2.7060466,9.136273,-0.6721721
52,1436890976233,-2.7162218,9.169194,-0.65301853
53,1436890976253,-2.700061,9.160215,-0.62129533
54,1436890976273,-2.6850972,9.132683,-0.62129533
55,1436890976293,-2.7575219,9.164406,-0.64583594
56,1436890976313,-2.7694929,9.150041,-0.6476316
57,1436890976331,-2.7539306,9.138668,-0.6745663
58,1436890976369,-2.7491422,9.139865,-0.66858083
59,1436890976370,-2.771887,9.134478,-0.6386533
60,1436890976391,-2.771887,9.1590185,-0.62847793
61,1436890976413,-2.7060466,9.162011,-0.6254852
62,1436890976431,-2.6731262,9.154829,-0.60693014
63,1436890976453,-2.7491422,9.1272955,-0.5859809
64,1436890976469,-2.7964275,9.128492,-0.62608373
65,1436890976494,-2.8844144,9.118318,-0.66618663
66,1436890976511,-2.883816,9.1272955,-0.6194997
67,1436890976530,-2.8233624,9.137471,-0.60573304
68,1436890976553,-2.7455509,9.14226,-0.6051345
69,1436890976574,-2.700061,9.155427,-0.6027403
70,1436890976589,-2.719813,9.124901,-0.60094464
71,1436890976613,-2.7641058,9.167996,-0.6278794
72,1436890976634,-2.814384,9.131485,-0.64823014
73,1436890976652,-2.822764,9.166202,-0.61890113
74,1436890976674,-2.837129,9.157822,-0.6218939
75,1436890976693,-2.7820623,9.159617,-0.6159084
76,1436890976713,-2.7401638,9.157223,-0.59376204
77,1436890976734,-2.7670987,9.123704,-0.62368953
78,1436890976751,-2.7814639,9.148245,-0.6314707
79,1436890976774,-2.8419175,9.135675,-0.6362591
80,1436890976794,-2.8125885,9.157223,-0.6584055
81,1436890976812,-2.8078,9.135675,-0.6793547
82,1436890976830,-2.8089972,9.108142,-0.6434417
83,1436890976850,-2.8173769,9.167996,-0.6655881
84,1436890976871,-2.8042088,9.156625,-0.6865373
85,1436890976935,-2.7754784,9.157822,-0.6631939
86,1436890976936,-2.759916,9.150639,-0.7110779
87,1436890976937,-2.8137856,9.132683,-0.7194576
88,1436890976956,-2.842516,9.097966,-0.65660983
